대출일자,대출기한,대출유형,반납일자,연체일수,소속,신분,변동,학년,등록번호,서명,저자,출판사,청구기호
2024-01-10 15:22:04,2024-01-20,일반,2024-01-15 12:51:38,0,도서관,사회교육생,퇴사,,EM087743,나 혼자만 알고 싶은 실전 심리학:사람의 속마음을 거울처럼 들여다본다 ,왕리,"미디어숲,", 189왕239ㄴKㄱ
2024-01-11 11:42:15,2024-01-18,일반,2024-01-26 10:15:31,1,스마트전기전자공학과,학생,퇴직(졸업),,EM069089,CATIA V5 R19 :입문 완결판  ,김원일,"명진,", 551.151김67c
2024-01-11 11:42:16,2024-01-18,일반,2024-01-26 10:15:34,1,스마트전기전자공학과,학생,퇴직(졸업),,EM070062,(Start) CATIA V5 R19 for beginners  ,김동주,"청담북스,", 551.151김225cc.2
2024-01-11 11:42:16,2024-01-18,일반,2024-01-26 10:15:36,1,스마트전기전자공학과,학생,퇴직(졸업),,EM069958,(실무중심의) CATIA V5 :ver 5.17  ,김해지,"明源,", 551.151김92cc.2
2024-01-11 12:22:34,2024-01-18,일반,2024-01-24 08:55:35,-1,스마트소프트웨어학과,학생,재직(학),,EM087266,손에 잡히는 10분 정규 표현식 :프로그래밍인사이트  ,"Forta, Ben","인사이트,", 005.13포833ㅅKㄱ
2024-01-11 12:22:34,2024-01-18,일반,2024-01-24 08:55:35,-1,스마트소프트웨어학과,학생,재직(학),,EM088062,(취업과 이직을 위한) 프로그래머스 코딩 테스트 문제 풀이 전략 .자바 편 ,김현이,"길벗,", 005.133김94ㅍ
2024-01-11 12:22:35,2024-01-18,일반,2024-01-24 08:55:34,-1,스마트소프트웨어학과,학생,재직(학),,EM087822,IntelliJ idea 프로젝트에 활용하기  ,백승주,"BJpublic(비제이퍼블릭),", 005.11백58ㅇ
2024-01-11 12:22:35,2024-01-18,일반,2024-01-24 08:55:36,-1,스마트소프트웨어학과,학생,재직(학),,EM088104,(그림과 작동 원리로 쉽게 이해하는)웹의 기초:웹의 전체 구조와 기술이 한눈에 들어오는 핵심 입문서 ,코바야시 쿄헤이,"위키북스,", 005.118코41ㅇKㄱ
2024-01-11 12:22:35,2024-01-18,일반,2024-01-24 08:55:33,-1,스마트소프트웨어학과,학생,재직(학),,EM087731,면접을 위한 CS 전공지식 노트 ,주홍철,"길벗,", 005.138주95ㅁ
2024-01-11 12:53:54,2024-01-18,일반,2024-01-15 12:02:27,0,스마트전기전자공학과,학생,재직(학),,EM085277,가끔 너를 생각해 ,후지마루,arte:, 833.6후79ㄱ
2024-01-12 12:08:32,2024-01-19,일반,2024-01-22 11:55:54,3,스마트전기전자공학과,학생,재직(학),,EM075198,인생학교 │섹스│ :섹스에 대해 더 깊이 생각해보는 법  ,"보통, 알랭 드","쌤앤파커스,", 840보835ㅇKㅈv.4
2024-01-12 12:08:35,2024-01-19,일반,2024-01-22 11:55:56,3,스마트전기전자공학과,학생,재직(학),,EM050955, 죽은 자는 말이 없다/ ," 슈니츨러, 아르투어"," 문예출판사,",  853 슈219ㅈKㅂ
2024-01-12 17:02:22,2024-01-19,일반,2024-01-26 08:53:15,0,기계공학과,학생,재직(학),,EM062819,예루살렘의 아이히만 / ,"아렌트, 한나.","한길사,", 992.5아233ᄋKㄱ
2024-01-12 17:02:23,2024-01-19,일반,2024-01-26 08:53:15,0,기계공학과,학생,재직(학),,EM086206,(나합격) 압연기능사 :필기×실기×무료동영상  ,나합격콘텐츠연구소,"삼원북스,", 581.32077나91ㅇ
2024-01-12 17:07:40,2024-01-19,일반,2024-01-19 13:13:07,0,전기전자공학과,학생,퇴직(졸업),,EM087016,(2022 에듀윌)전기자기학:필기 기본서+5개년 기출 ,에듀윌 전기수험연구소,"에듀윌,", 560.77에227ㅈ
2024-01-12 17:49:42,2024-01-19,일반,2024-01-25 14:02:47,0,전기전자공학과,학생,퇴직(졸업),,EM087035,"(나합격)위험물기능사:필기+실기+무료동영상 .[1],필기",나합격 콘텐츠 연구소,"삼원북스,", 530.98077나91ㅇv.1
2024-01-15 12:09:59,2024-01-22,일반,2024-01-22 11:55:10,0,스마트전기전자공학과,학생,재직(학),,EM085050,"일상, 과학다반사 :세상을 읽는 눈이 유쾌해지는 생활밀착형 과학에세이  ",심혜진,"홍익출판사,", 404심94ㅇ
2024-01-15 12:50:54,2024-01-25,일반,2024-01-30 13:01:49,5,도서관,사회교육생,퇴사,,EM087886,주의력 연습:끊임없는 생각과 계획에 중독된 현대인을 위한 주의력 사용설명서 ,"자, 아미시","어크로스,", 181.3자61ㅈKㅇ
2024-01-15 13:08:12,2024-01-30,일반,2024-05-12,73,산학협력단,직원,퇴직(졸업),,EM087564,사서함 110호의 우편물:이도우 장편소설 ,이도우,"수박설탕,", 813.7이225ㅅ2
2024-01-15 14:50:38,2024-01-22,일반,2024-01-17 12:27:08,0,스마트소프트웨어학과,학생,휴직(학),,EM085408,사랑한다고 상처를 허락하지 말 것:나를 잃지 않고 관계를 단단하게 지켜나가기 위해 ,김달,"비에이블,", 818김221ㅅ
2024-01-15 14:50:38,2024-01-22,일반,2024-01-19 12:17:35,0,스마트소프트웨어학과,학생,휴직(학),,EM087815,사랑은 그렇게 하는 것이 아니다:상처받지 않고 상처주지 않는 관계의 기술 ,김달,"빅피시,", 818김221사
2024-01-16 10:27:34,2024-01-31,일반,2024-02-05 15:12:49,5,AI·DX 센터,직원,재직(학),,EM088618,(누구나 쉽게 데이터를 분석하고 시각화시키는) Power BI  ,심흥섭,"청람,", 005.76심98p
2024-01-16 10:27:34,2024-01-31,일반,2024-02-05 15:12:52,5,AI·DX 센터,직원,재직(학),,EM088620,데이터 시각화와 탐색 with power BI :복잡하고 이해하기 힘든 데이터를 power BI로 시각화해 보자  ,마경근,"Youngjin.com(영진닷컴),", 005.76마14ㄷ
2024-01-16 10:27:35,2024-01-31,일반,2024-02-05 15:12:54,5,AI·DX 센터,직원,재직(학),,EM088619,(참된 데이터 분석과 빈틈없는 보고서를 위한) 파워 BI:데이터 분석&시각화 ,김보겸,"BJ Public,", 005.74김45ㅍ
2024-01-16 10:32:14,2024-01-31,일반,2024-02-05 13:51:51,5,입학학생처(학생),직원,재직(학),,EM088604,"(AR과 함께 즐기는 손오공의 한자 대탐험) 마법천자문 50  ,착해져라! 착할 선",유대영,"아울북,",CM711.47그239ㅁv.50
2024-01-16 10:32:14,2024-01-31,일반,2024-02-05 13:51:53,5,입학학생처(학생),직원,재직(학),,EM088603,"(손오공의 한자 대탐험) 마법천자문 .49,마주 보는 그림자! 그림자 영 ",유대영,"북이십일 아울북,",CM711.47그239ㅁv.49
