A,B,C,D,E,F,G,H,I,J,K,L,M,N
구분,CD자료,0,100,200,300,400,500,600,700,800,900,ETC,합계
2023-12-26,,0,0,0,0,0,0,0,2,0,0,0,2
,총계,0,0,0,0,0,0,0,2,0,0,0,2
,비율(%),0,0,0,0,0,0,0,100,0,0,0,100
구분,DVD,0,100,200,300,400,500,600,700,800,900,ETC,합계
2023-08-31,,0,0,0,0,0,0,1,0,0,0,0,1
2023-12-26,,0,0,0,0,0,0,1,0,0,0,0,1
,총계,0,0,0,0,0,0,2,0,0,0,0,2
,비율(%),0,0,0,0,0,0,100,0,0,0,0,100
구분,동서 단행본,0,100,200,300,400,500,600,700,800,900,ETC,합계
2023-01-02,,2,2,1,5,1,2,0,0,3,1,0,17
2023-01-03,,2,0,0,0,0,4,0,0,0,0,0,6
2023-01-04,,0,0,0,0,0,0,0,0,0,1,0,1
2023-01-05,,1,2,0,0,0,0,1,0,2,0,0,6
2023-01-06,,0,2,0,1,1,4,0,0,1,0,0,9
2023-01-10,,0,4,0,1,0,0,0,0,2,0,0,7
2023-01-11,,0,0,0,0,0,0,0,0,1,0,0,1
2023-01-13,,0,0,0,2,0,5,0,0,1,1,0,9
2023-01-16,,1,0,0,0,0,0,0,0,2,0,0,3
2023-01-17,,0,0,0,0,0,2,0,0,0,0,0,2
2023-01-18,,1,1,0,2,0,0,0,1,0,0,0,5
2023-01-19,,0,0,0,0,0,1,0,0,4,0,0,5
2023-01-20,,1,0,0,0,0,2,0,0,0,0,0,3
2023-01-27,,0,0,0,0,0,2,0,0,0,0,0,2
2023-01-30,,0,2,0,0,0,0,0,0,3,0,0,5
2023-01-31,,1,2,0,0,0,2,0,0,0,2,0,7
2023-02-01,,0,0,0,0,0,1,0,0,1,0,0,2
2023-02-03,,0,1,0,0,0,0,0,0,0,0,0,1
2023-02-07,,0,0,0,0,0,2,0,0,0,0,0,2
2023-02-08,,0,0,0,0,0,1,0,0,0,0,0,1
2023-02-09,,1,0,0,0,0,1,0,0,0,0,0,2
2023-02-10,,1,0,0,0,0,1,0,0,2,2,0,6
2023-02-13,,0,0,0,0,0,0,0,0,1,0,0,1
2023-02-15,,0,0,0,0,0,1,0,0,0,0,0,1
2023-02-20,,0,0,0,0,0,2,0,0,2,1,0,5
2023-02-23,,0,0,1,0,0,0,0,0,2,0,0,3
2023-02-27,,2,0,0,1,0,0,0,0,1,0,0,4
2023-02-28,,0,0,0,1,0,0,0,0,0,0,0,1
2023-03-02,,12,12,0,10,1,8,0,1,7,2,0,53
2023-03-03,,3,1,0,4,2,2,0,0,3,0,0,15
2023-03-06,,2,0,0,6,0,3,1,1,10,1,0,24
2023-03-07,,3,1,0,1,0,4,0,0,11,0,0,20
2023-03-08,,4,1,0,4,3,3,0,0,11,1,0,27
2023-03-09,,2,1,0,2,1,2,0,0,4,0,0,12
2023-03-10,,3,1,0,2,0,2,0,1,11,1,0,21
2023-03-13,,4,3,1,2,0,7,0,0,12,0,0,29
2023-03-14,,0,0,0,1,2,3,0,0,17,0,0,23
2023-03-15,,2,0,0,5,3,6,0,1,16,1,0,34
2023-03-16,,4,4,0,0,0,2,0,0,17,0,0,27
2023-03-17,,0,2,0,5,0,4,0,0,18,0,0,29
2023-03-20,,5,5,0,1,1,5,0,0,12,0,0,29
2023-03-21,,1,3,0,0,0,8,0,0,16,1,0,29
2023-03-22,,1,3,0,3,1,9,0,0,20,1,0,38
2023-03-23,,3,1,0,3,0,8,0,3,16,0,0,34
2023-03-24,,0,0,0,0,1,3,0,0,6,0,0,10
2023-03-27,,0,1,0,4,0,6,0,0,15,0,0,26
2023-03-28,,2,2,0,0,0,8,0,0,8,1,0,21
2023-03-29,,2,6,0,1,1,6,0,0,20,1,0,37
2023-03-30,,0,2,0,1,0,6,0,0,8,1,0,18
2023-03-31,,1,1,0,1,2,4,0,0,5,0,0,14
2023-04-03,,3,5,0,3,0,8,0,0,5,0,0,24
2023-04-04,,1,0,0,0,0,4,0,1,2,0,0,8
2023-04-05,,5,7,0,1,2,3,0,0,5,2,0,25
2023-04-06,,4,3,0,2,0,5,1,2,13,0,0,30
2023-04-07,,0,0,0,0,1,6,0,0,2,0,0,9
2023-04-10,,0,2,0,0,0,4,0,1,4,0,0,11
2023-04-11,,2,2,0,0,0,0,0,0,6,0,0,10
2023-04-12,,9,1,0,0,2,6,0,0,5,2,0,25
2023-04-13,,3,1,0,1,0,6,0,0,5,0,0,16
2023-04-14,,2,0,0,7,0,5,0,0,4,0,0,18
